current_i: 0, current_j: -9
current_i: -6, current_j: -9
current_i: -6, current_j: -19
current_i: -14, current_j: -19
current_i: -14, current_j: -22
current_i: -22, current_j: -22
current_i: -22, current_j: -29
current_i: -27, current_j: -29
current_i: -27, current_j: -39
current_i: -30, current_j: -39
current_i: -30, current_j: -35
current_i: -38, current_j: -35
current_i: -38, current_j: -31
current_i: -44, current_j: -31
current_i: -44, current_j: -27
current_i: -37, current_j: -27
current_i: -37, current_j: -24
current_i: -30, current_j: -24
current_i: -30, current_j: -19
current_i: -39, current_j: -19
current_i: -39, current_j: -10
current_i: -42, current_j: -10
current_i: -42, current_j: 0
current_i: -50, current_j: 0
current_i: -50, current_j: -7
current_i: -57, current_j: -7
current_i: -57, current_j: -9
current_i: -50, current_j: -9
current_i: -50, current_j: -16
current_i: -54, current_j: -16
current_i: -54, current_j: -19
current_i: -59, current_j: -19
current_i: -59, current_j: -26
current_i: -54, current_j: -26
current_i: -54, current_j: -30
current_i: -50, current_j: -30
current_i: -50, current_j: -34
current_i: -62, current_j: -34
current_i: -62, current_j: -31
current_i: -65, current_j: -31
current_i: -65, current_j: -24
current_i: -74, current_j: -24
current_i: -74, current_j: -20
current_i: -62, current_j: -20
current_i: -62, current_j: -14
current_i: -74, current_j: -14
current_i: -74, current_j: -6
current_i: -62, current_j: -6
current_i: -62, current_j: 0
current_i: -74, current_j: 0
current_i: -74, current_j: -3
current_i: -77, current_j: -3
current_i: -77, current_j: -9
current_i: -79, current_j: -9
current_i: -79, current_j: -18
current_i: -84, current_j: -18
current_i: -84, current_j: -22
current_i: -90, current_j: -22
current_i: -90, current_j: -31
current_i: -93, current_j: -31
current_i: -93, current_j: -40
current_i: -102, current_j: -40
current_i: -102, current_j: -34
current_i: -105, current_j: -34
current_i: -105, current_j: -28
current_i: -114, current_j: -28
current_i: -114, current_j: -18
current_i: -117, current_j: -18
current_i: -117, current_j: -21
current_i: -124, current_j: -21
current_i: -124, current_j: -33
current_i: -130, current_j: -33
current_i: -130, current_j: -38
current_i: -119, current_j: -38
current_i: -119, current_j: -41
current_i: -130, current_j: -41
current_i: -130, current_j: -46
current_i: -135, current_j: -46
current_i: -135, current_j: -54
current_i: -144, current_j: -54
current_i: -144, current_j: -57
current_i: -147, current_j: -57
current_i: -147, current_j: -46
current_i: -152, current_j: -46
current_i: -152, current_j: -49
current_i: -155, current_j: -49
